index,time_sec,joint_1_rad,joint_1_deg,joint_1_pwm_us,joint_2_rad,joint_2_deg,joint_2_pwm_us,joint_3_rad,joint_3_deg,joint_3_pwm_us,joint_4_rad,joint_4_deg,joint_4_pwm_us
72,7.154125442,1.4984999999999997,85.85772560035385,2454,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
73,7.254125442,1.494,85.59989459254498,2451,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
74,7.354125442,1.4865000000000002,85.17017624619689,2446,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
75,7.4541254420000005,1.476,84.56857056130951,2440,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
76,7.554125442,1.4625000000000004,83.79507753788292,2431,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
77,7.654125442,1.4460000000000002,82.84969717591704,2421,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
78,7.754125442,1.4265000010668805,81.73242953653968,2408,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
79,7.854125442,1.4040000061919495,80.44327479114015,2394,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
80,7.9541254420000005,1.3785000113170187,78.98223270720139,2378,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
81,8.054125442,1.3500000179231224,77.34930336958041,2359,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
82,8.154125442,1.3185000268040734,75.54448682375933,2339,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
83,8.254125442,1.284000035887785,73.56778295101631,2317,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
84,8.354125442,1.2465000456218522,71.4191917769967,2293,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
85,8.454125442,1.2060000555126051,69.09871327341527,2268,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
86,8.554125442,1.1625000656261935,66.60634744406211,2240,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
87,8.654125442,1.1160000776194945,63.94209438386932,2210,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
88,8.754125442,1.066500090078918,61.105954011844126,2179,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
89,8.854125442,1.0140001026370307,58.097926306934156,2145,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
90,8.954125442,0.958500116999411,54.91801136686186,2110,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
91,9.054125442,0.9000001319318214,51.56620912091064,2073,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
92,9.154125442,0.8385001481475826,48.04251960995075,2034,0.5,28.64788975654116,1593,0.5,28.64788975654116,2132,0.0,0.0,500
93,9.254125442,0.7740001657194819,44.346942838152614,1992,0.5,28.64788975654116,1593,0.5000000000000001,28.64788975654117,2132,0.0,0.0,500
94,9.354125442,0.7065001842984415,40.47947878551553,1950,0.5,28.64788975654116,1593,0.5000000000000001,28.64788975654117,2132,0.0,0.0,500
95,9.454125442,0.636000203764499,36.44012744516616,1905,0.5,28.64788975654116,1593,0.5000000000000001,28.64788975654117,2132,0.0,0.0,500
96,9.554125442,0.5625002240239744,32.22888881173705,1858,0.5,28.64788975654116,1593,0.5000000000000001,28.64788975654117,2132,0.0,0.0,500
97,9.654125442,0.4860002454022978,27.845762903873958,1809,0.5,28.64788975654116,1593,0.5000000000000001,28.64788975654117,2132,0.0,0.0,500
98,9.754125442,0.4065002680641978,23.290749731015136,1758,0.5,28.64788975654116,1593,0.5000000000000001,28.64788975654117,2132,0.0,0.0,500
99,9.854125442,0.3240002919696947,18.563849290869925,1706,0.5,28.64788975654116,1593,0.5000000000000001,28.64788975654117,2132,0.0,0.0,500
100,9.954125442,0.2385003174583311,13.665061602892678,1651,0.5,28.64788975654116,1593,0.5000000000000001,28.64788975654117,2132,0.0,0.0,500
101,10.054125442,0.15000034370048354,8.594386619549471,1595,0.5,28.64788975654116,1593,0.5000000000000001,28.64788975654117,2132,0.0,0.0,500
